gene;ratio;pval;qval
9430016H08Rik;-1.098;0.000140348;0.004137329
Igfbp7;-2.582;0.000142323;0.004183101
Mogat2;0.593;0.000142854;0.004186304
A330044P14Rik;-1.251;0.000144447;0.004220486
Ces1e;2.589;0.000146749;0.004275148
B4galt1;0.688;0.000157553;0.004576431
Sulf2;0.792;0.000161532;0.00466464
Mtch2;3.467;0.00016117;0.00466464
Abcc2;0.823;0.000164607;0.004725896
Tmem131;1.31;0.000164218;0.004725896
Trim39;-2.73;0.000168052;0.004810839
Cyp4b1;0.79;0.000171348;0.004891084
Gm11027;-1.495;0.000173709;0.004944222
Aph1a;3.666;0.000177431;0.005007001
Nkx2-1;-2.966;0.000176457;0.005007001
Zmat1;-1.011;0.000177081;0.005007001
Rpl14;-1.468;0.000178797;0.005031219
Nat8;0.76;0.000179894;0.00504774
RP23-287I20.1;-1.302;0.000180565;0.005052247
Ctsw;-2.599;0.000183819;0.005128822
Slc3a1;1.7;0.000184364;0.005129569
Gm28362;-1.282;0.000187478;0.005201601
Rgs10;-2.728;0.000190109;0.005259852
Gm4070;-2.56;0.000193379;0.005320601
Gvin1;-2.56;0.000193379;0.005320601
2010109I03Rik;-1.047;0.000195996;0.005372421
Rad51c;0.637;0.000196889;0.005372421
Brca2;-1.042;0.000196795;0.005372421
Degs2;0.723;0.000198707;0.005407132
Pld1;-2.076;0.000201204;0.005460074
Arl4a;-2.784;0.000204433;0.005517474
Scarb1;3.37;0.000204154;0.005517474
AC132444.6;-1.362;0.000211165;0.005683663
Ccnl2;-2.802;0.000214994;0.005771045
Zfp459;-2.54;0.000225217;0.006005147
Heph;1.61;0.000226026;0.006005147
Ptma;-2.044;0.000224649;0.006005147
Gm20589;-1.889;0.00022614;0.006005147
Man1a;1.429;0.000229577;0.006080107
Rilpl2;-1.789;0.000231226;0.006107441
Trp53inp2;-2.253;0.000234982;0.006190161
Fam234a;0.929;0.000239102;0.006281969
Cds1;0.601;0.000240041;0.006289962
mt-Atp8;0.583;0.00024822;0.006487112
Nucb1;0.792;0.000261463;0.006815232
Haus8;-0.793;0.000263664;0.006854582
Unc13a;-2.539;0.000268488;0.006961713
Gm6483;-3.005;0.00026948;0.00696918
Prdm11;-1.043;0.000273377;0.007051556
Nom1;-1.234;0.000275906;0.007089491
Nipa2;3.345;0.000276279;0.007089491
Por;0.839;0.000290366;0.007431723
Slc39a14;0.576;0.000291363;0.00743801
Zfp964;-1.695;0.000297534;0.007556589
Nkain3;-1.311;0.000297118;0.007556589
4932438A13Rik;-1.496;0.000311511;0.007891345
Irf7;3.284;0.000317613;0.008025409
Tnfrsf10b;-0.815;0.000320221;0.008070697
Dag1;2.403;0.000321046;0.008070978
Ccdc77;-2.191;0.000324885;0.008146794
Tmem98;0.608;0.000336004;0.008383176
Serpinb1a;0.596;0.000335751;0.008383176
Ccbl1;-2.51;0.000345796;0.008605805
Vmp1;0.515;0.000350887;0.008710623
Slc9a2;0.984;0.000353667;0.00875767
Rps12-ps3;-1.029;0.000356404;0.008803438
Dmbt1;1.355;0.000366352;0.009026648
Sqstm1;2.535;0.000368242;0.009050704
Chpt1;-1.387;0.000392904;0.00963295
Agmo;1.064;0.000397809;0.009723265
Ank;0.957;0.000398551;0.009723265
Cd34;-1.424;0.000403085;0.009809715
Bche;1.226;0.000408295;0.009912166
Gm11127;0.87;0.000416083;0.010076532
H2-Q2;0.461;0.000417302;0.010081412
Ldha;0.388;0.000422272;0.01017665
Slc16a1;1.182;0.000424795;0.010212619
Ptprf;1.621;0.000437185;0.010469308
Hspa5;0.562;0.000437586;0.010469308
Mcfd2;0.953;0.000468232;0.011175507
Pura;-0.81;0.000471609;0.011229062
Cox7b;2.474;0.000478826;0.011373562
H2-D1;0.659;0.000501935;0.011893937
Arhgef5;-1.28;0.000506087;0.011963713
Adam22;0.584;0.000510482;0.012038868
