gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
AC022079.1,2.13E-07,3.47E-07,1.18E-07,2.80E-07,4.87E-07,0,7.68E-07,1.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022079.2,8.00E-08,0,0,0,0,0,0,2.72E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022087.1,4.46E-07,1.32E-07,9.32E-07,4.90E-07,0,0,0,4.27E-06,1.39E-06,0,0,0,0,3.44E-06,0,0,0,0,0,0,0,0,0,0
AC022098.1,5.81E-07,9.22E-07,2.23E-06,4.25E-07,3.68E-07,8.84E-07,3.03E-06,0,0,0,2.79E-06,8.80E-07,0,0,0,0,0,0,0,2.47E-06,7.55E-06,7.06E-06,2.22E-06,0
AC022098.3,4.58E-08,0,4.37E-08,0,3.33E-07,0,0,0,0,0,0,8.89E-07,0,0,0,0,0,0,0,0,0,0,0,0
AC022098.4,0,3.42E-07,0,8.06E-08,2.09E-07,0,0,0,2.06E-06,0,9.67E-07,2.84E-06,0,0,0,0,0,0,0,0,0,0,0,0
AC022101.1,2.42E-06,1.83E-06,3.08E-06,4.27E-07,1.01E-06,0,0,0,8.63E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92E-07,0
AC022126.1,8.05E-07,8.03E-07,5.57E-07,2.56E-07,1.67E-07,0,1.14E-07,1.48E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022137.4,6.50E-07,8.66E-07,1.16E-07,6.97E-07,1.20E-06,0,1.55E-07,0,1.15E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022144.1,1.53E-06,2.14E-07,1.06E-06,8.10E-07,3.54E-07,0,6.45E-07,0,2.14E-06,0,3.73E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022148.1,1.80E-07,0,0,6.30E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022148.2,0,2.33E-07,0,6.66E-08,7.16E-08,0,8.66E-07,0,1.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022150.1,0,2.19E-07,0,3.15E-07,7.13E-08,0,0,0,0,0,4.57E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022150.2,0,2.47E-07,0,1.78E-07,1.34E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022150.4,0,0,1.06E-07,1.57E-07,1.19E-07,0,1.14E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022167.1,4.57E-07,0,2.72E-07,3.73E-07,4.05E-07,0,0,0,0,0,0,0,0,1.27E-05,0,0,0,0,0,0,0,0,0,0
AC022167.2,3.44E-07,1.68E-06,9.83E-07,9.73E-07,4.72E-07,0,1.16E-06,0,1.48E-06,0,0,0,0,0,0,0,0,0,1.44E-06,0,6.05E-07,0,1.99E-06,0
AC022167.3,3.29E-07,0,4.80E-07,0,5.95E-08,0,3.71E-07,0,0,0,3.15E-07,4.16E-06,0,5.61E-06,0,0,0,0,0,0,0,0,0,0
AC022167.4,0,5.13E-07,1.08E-07,0,8.74E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24E-06,0
AC022182.1,1.02E-07,0,0,0,0,0,2.91E-06,5.90E-07,0,0,2.32E-06,1.78E-06,0.000108721,5.93E-06,0,0,0,0,0,0,0,0,0,0
AC022182.2,0,2.08E-07,0,1.63E-07,0,0,1.06E-06,0,0,0,3.55E-06,9.37E-06,3.38E-05,0,1.11E-05,8.55E-07,2.61E-05,0,0,0,0,0,0,0
AC022201.2,0,5.99E-07,5.86E-07,1.15E-07,4.21E-08,0,0,0,5.61E-07,0,8.90E-07,0,0,0,0,0,0,0,0,0,0,5.50E-06,0,0
AC022210.2,0,4.13E-07,9.89E-08,1.69E-07,7.42E-07,0,2.01E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022211.1,3.83E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022211.2,3.25E-07,3.75E-07,2.16E-07,1.35E-07,6.31E-08,0,0,1.38E-06,0,0,1.70E-06,0,0,0,0,8.77E-07,0,0,0,0,0,0,0,0
AC022211.3,1.27E-07,2.31E-07,1.10E-07,2.20E-07,3.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022267.1,0,0,4.34E-08,2.26E-07,5.13E-07,0,0,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022274.1,1.16E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022306.2,2.03E-06,2.58E-06,2.02E-06,2.62E-06,3.90E-06,7.75E-06,3.20E-06,3.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022306.3,0,0,6.36E-08,2.71E-07,2.10E-07,0,5.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022364.1,3.83E-07,0,1.63E-07,2.48E-07,1.67E-07,0,1.62E-06,1.50E-06,0,0,2.66E-06,6.52E-06,0,0,0,6.39E-07,0,0,0,0,8.25E-07,0,0,0
AC022382.1,1.06E-06,0,5.41E-08,5.73E-08,3.48E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022400.4,2.13E-07,3.32E-07,2.53E-07,5.81E-07,6.62E-07,0,2.68E-07,3.04E-06,1.55E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022400.6,3.16E-07,1.64E-06,2.06E-07,1.03E-07,2.16E-07,0,4.55E-07,0,0,0,0,0,3.38E-05,0,0,0,0,0,0,0,0,0,0,0
AC022431.1,0,0,5.53E-08,6.50E-07,1.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022463.1,0,0,4.17E-08,9.52E-08,1.42E-07,0,1.82E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022506.2,9.09E-08,5.83E-07,9.83E-07,1.34E-06,4.73E-07,0,2.38E-07,3.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022509.1,0,1.60E-07,1.60E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022540.1,0,0,4.07E-08,1.20E-07,6.18E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022558.1,7.15E-07,1.54E-07,4.85E-07,7.62E-07,5.99E-07,1.20E-06,5.71E-07,0,2.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022558.3,8.00E-08,0,3.13E-07,0,0,0,2.38E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022613.1,4.83E-06,9.26E-06,1.43E-05,4.10E-05,3.21E-05,1.31E-06,1.03E-05,5.75E-06,1.48E-05,0,0,0,0,0,0,0,1.31E-05,0,0,0,0,0,5.43E-06,0
AC022613.2,2.06E-07,3.42E-07,6.95E-08,3.45E-07,6.69E-07,2.39E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52E-06,0,0,0,0
AC022613.3,5.52E-07,5.19E-07,5.38E-07,1.52E-06,2.89E-06,1.31E-06,4.33E-07,2.01E-06,2.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022726.2,2.06E-07,0,0,0,0,0,0,2.09E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022730.4,3.95E-07,1.27E-07,4.70E-07,1.07E-07,2.81E-07,0,2.66E-07,6.90E-07,0,0,0,0,0,4.40E-07,0,0,0,0,1.01E-06,0,3.05E-06,0,6.01E-07,0
AC022762.2,1.16E-06,2.88E-06,2.17E-06,1.87E-06,1.89E-06,0,9.39E-07,0,2.89E-06,0,0,0,0,0,0,0,0,0,0,5.01E-06,0,0,0,0
AC022784.1,1.08E-07,4.74E-07,0,0,0,4.27E-06,9.75E-08,0,0,0,4.66E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022784.3,3.23E-07,0,8.64E-07,0,0,0,0,0,0,0,1.19E-06,9.39E-07,0,0,0,0,0,0,2.00E-06,0,0,0,0,0
AC022784.8,1.41E-07,0,3.96E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022819.1,1.79E-07,3.86E-07,2.58E-07,4.53E-07,3.00E-07,0,4.60E-07,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022858.1,0,0,0,0,0,0,0,0,1.55E-06,0,0,0,0,0,0,0,0,0,1.63E-06,0,0,0,0,0
AC022893.1,5.16E-07,1.23E-06,4.20E-07,6.57E-07,7.64E-07,0,0,2.39E-06,0,0,0,7.53E-07,0,0,0,0,0,0,0,0,0,4.88E-06,0,0
AC022893.2,0,3.16E-07,0,0,0,0,0,4.20E-05,2.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39E-06,0
AC022916.1,1.56E-07,4.05E-07,3.24E-07,3.90E-07,0,0,1.16E-06,5.18E-06,0,0,4.12E-06,1.12E-05,3.38E-05,0,0,0,0,0,0,5.29E-06,5.69E-06,0,0,0
AC022929.2,5.59E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022960.1,4.28E-08,0,0,1.51E-07,8.27E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022960.2,0,0,7.60E-08,2.79E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022966.2,1.69E-07,2.30E-07,1.48E-07,2.56E-07,4.03E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC022973.3,2.22E-07,0,1.67E-07,4.24E-07,2.59E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023024.1,1.23E-06,0,5.60E-08,3.75E-07,1.09E-07,0,1.83E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023034.1,5.29E-07,0,3.27E-07,5.15E-08,0,0,4.55E-07,2.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023043.1,1.61E-05,1.99E-05,3.30E-05,4.13E-05,3.53E-05,1.94E-05,1.36E-05,1.86E-06,4.44E-05,0,1.27E-06,0,0,0,0,0,2.34E-05,0,0,1.82E-06,0,6.70E-06,2.63E-06,0
AC023043.4,1.50E-07,1.09E-06,3.07E-07,9.22E-07,9.36E-07,0,8.25E-07,0,8.43E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023090.1,0,1.53E-06,5.46E-08,1.30E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023157.3,2.00E-06,1.62E-06,2.19E-06,2.88E-06,3.72E-06,1.34E-05,5.65E-06,0,2.66E-06,0,4.75E-06,1.02E-05,0,1.11E-05,0,2.06E-06,0,0,0,1.10E-06,1.36E-06,0,0,0
AC023282.1,0,0,0,1.43E-07,7.63E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023283.1,1.93E-07,0,0,1.46E-07,9.00E-08,0,0,3.45E-06,8.43E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023300.2,0,0,0,0,0,1.27E-06,0,8.66E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023302.1,7.06E-07,3.42E-07,3.47E-07,1.96E-07,4.11E-07,0,7.55E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023355.1,6.09E-07,1.10E-06,0,5.33E-07,1.13E-07,0,0,0,3.10E-06,0,4.47E-07,1.32E-06,0,0,0,0,0,0,1.52E-06,0,1.15E-05,0,4.60E-06,0
AC023385.1,0,0,0,1.33E-07,8.65E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023421.1,0,0,4.95E-07,5.55E-07,3.70E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023424.3,5.13E-08,0,0,5.06E-08,1.05E-07,0,7.69E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023481.1,9.16E-08,3.23E-07,0,0,0,0,3.53E-07,3.12E-06,3.03E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023509.2,1.53E-07,0,4.92E-08,3.60E-07,2.47E-07,0,0,1.25E-06,0,0,3.09E-07,0,0,0,0,0,0,0,1.56E-06,0,0,0,3.53E-07,0
AC023509.3,4.06E-07,1.59E-07,8.61E-07,9.34E-07,4.70E-07,0,5.86E-07,3.93E-06,4.97E-06,0,0,0,0,0,0,0,0,0,0,6.69E-06,3.47E-06,0,8.19E-06,0
AC023509.4,5.87E-07,1.88E-06,1.33E-06,1.92E-07,0,0,0,0,0,0,2.06E-06,2.03E-06,0,0,0,6.37E-06,2.63E-05,0,0,0,8.25E-07,0,0,0
AC023590.1,9.90E-07,2.99E-07,1.66E-06,1.87E-06,1.13E-06,0,6.70E-07,1.86E-06,3.16E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023632.2,1.00E-06,7.13E-07,1.03E-06,2.89E-07,3.89E-07,0,1.23E-06,1.07E-06,1.55E-06,0,9.97E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023790.2,8.12E-08,1.30E-07,3.29E-07,8.33E-08,0,0,0,1.21E-06,1.95E-06,0,0,0,0,0,0,0,0,0,1.31E-06,0,0,0,0,0
AC023794.3,4.86E-08,1.11E-07,4.03E-07,2.42E-07,1.68E-07,0,0,0,2.97E-06,0,6.06E-07,1.19E-06,0,0,0,0,0,0,0,0,0,0,5.74E-07,0
AC023794.6,0,0,7.17E-08,6.78E-08,8.71E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023813.3,2.69E-07,0,0,0,3.67E-07,0,5.93E-07,0,0,0,0,2.04E-06,0,0,0,0,0,0,0,0,0,0,0,0
AC023830.3,0,0,0,1.10E-07,1.05E-07,0,8.68E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC023906.3,1.84E-07,0,9.36E-08,0,0,0,0,0,0,0,0,1.10E-06,0,0,0,0,0,0,0,0,0,0,0,0
AC023906.5,0,0,0,1.16E-07,2.22E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68E-06,0,0,0,0,0
AC023908.3,1.46E-06,2.44E-06,1.03E-06,1.08E-06,6.09E-07,0,6.27E-07,0,1.60E-06,0,6.36E-07,3.07E-06,0,0,0,0,0,0,6.10E-06,2.53E-06,0,0,0,0
AC024060.1,9.78E-07,6.19E-07,1.57E-06,0,0,0,1.92E-06,0,0,0,0,0,0,9.96E-06,0,0,0,0,0,0,0,0,0,0
AC024060.2,9.03E-07,1.30E-06,1.07E-06,9.32E-07,8.69E-07,4.27E-06,2.23E-06,4.12E-06,6.19E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024075.1,7.69E-07,1.32E-06,9.32E-07,2.29E-06,2.52E-06,2.37E-06,2.45E-06,1.47E-06,4.40E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024075.2,1.88E-06,1.86E-06,4.37E-06,5.57E-06,3.05E-06,7.63E-06,7.74E-06,5.77E-06,9.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024075.3,1.32E-07,0,0,1.40E-07,7.03E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024236.1,1.71E-07,1.16E-07,0,3.25E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024243.1,1.72E-07,1.52E-07,7.53E-07,1.10E-06,1.76E-07,0,0,0,1.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024257.3,7.62E-07,5.62E-07,2.06E-06,7.96E-07,7.83E-07,0,3.01E-06,1.38E-06,0,0,9.10E-07,7.33E-07,0,0,0,0,0,0,4.20E-06,0,0,0,0,0
AC024257.4,1.45E-07,3.71E-07,1.78E-07,0,9.86E-08,0,5.25E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024267.1,0,0,0,1.76E-07,1.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024361.1,2.41E-07,0,1.20E-07,1.48E-07,1.88E-07,0,4.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024361.2,3.44E-07,8.61E-08,1.13E-07,8.59E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024451.4,1.64E-07,0,1.82E-07,7.88E-08,3.35E-07,0,2.55E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024560.1,8.09E-07,1.37E-07,5.61E-07,1.02E-06,7.31E-07,0,6.22E-07,3.07E-06,0,0,0,1.90E-06,0,0,0,0,0,0,0,0,1.66E-06,0,0,0
AC024560.3,1.39E-07,0,0,1.06E-07,1.26E-07,0,2.55E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024560.4,1.43E-06,2.61E-06,2.22E-06,4.10E-06,3.05E-06,6.65E-07,4.52E-06,2.31E-06,1.30E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024560.5,2.56E-07,1.37E-07,1.32E-07,6.37E-07,6.64E-07,0,3.51E-07,1.11E-06,2.27E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024575.1,1.62E-07,0,3.99E-07,6.28E-08,0,0,2.70E-07,0,0,0,3.54E-07,1.01E-06,0,0,0,5.71E-06,0,0,0,0,2.30E-06,0,0,0
AC024588.1,0,2.15E-07,6.95E-08,0,0,0,0,0,9.95E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024592.2,4.08E-06,1.19E-06,1.15E-06,4.29E-07,2.88E-07,9.93E-07,0,1.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024610.2,0,0,0,4.48E-08,0,0,0,1.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024896.1,1.07E-07,1.30E-07,0,0,8.45E-08,0,3.77E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024909.1,3.24E-08,0,1.49E-07,3.08E-07,4.60E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024933.1,2.62E-07,0,1.00E-07,2.86E-07,2.47E-07,0,0,2.54E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024940.1,1.47E-07,0,1.34E-07,0,0,0,0,0,0,0,4.05E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024940.6,7.86E-08,2.41E-07,5.85E-08,1.62E-07,6.79E-08,0,4.01E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC024941.2,1.25E-06,1.02E-07,7.60E-07,1.17E-06,6.78E-07,8.84E-07,5.60E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54E-06,0,0,0
AC025031.3,2.88E-07,1.37E-07,2.36E-07,1.41E-07,6.64E-08,0,4.59E-07,1.37E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025031.4,1.05E-06,2.78E-07,1.41E-06,1.18E-06,1.07E-06,3.37E-06,4.57E-06,2.08E-06,1.89E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025034.1,1.28E-06,1.25E-06,1.10E-06,4.13E-07,3.91E-07,8.84E-07,4.22E-07,0,2.67E-06,0,4.09E-07,0,0,0,0,0,0,0,1.86E-06,0,0,0,0,0
AC025038.1,0,9.95E-07,0,1.42E-07,0,0,2.17E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025048.2,3.53E-07,2.89E-07,2.58E-07,7.10E-07,4.86E-07,0,2.27E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025048.4,3.64E-07,2.96E-07,3.82E-07,2.46E-07,0,1.17E-06,8.36E-07,0,2.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025062.3,2.36E-07,3.31E-07,4.04E-07,5.18E-07,7.29E-07,0,2.17E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025159.1,1.36E-05,1.16E-05,1.11E-05,9.70E-06,9.96E-06,2.20E-05,1.16E-05,1.43E-05,3.65E-05,0,1.23E-05,1.10E-05,0,6.21E-06,0,1.29E-05,0,0,1.21E-05,1.30E-05,9.53E-06,1.93E-05,1.54E-06,0.000174967
AC025160.1,0,0,0,1.03E-07,1.17E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025162.2,0,0,0,1.07E-07,1.18E-07,0,0,0,1.61E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025164.1,1.44E-06,1.48E-06,8.89E-07,1.33E-06,6.99E-07,4.51E-06,6.40E-07,2.08E-06,0,0,3.95E-05,5.26E-05,0.000115768,4.40E-07,4.45E-05,1.31E-05,0,0,0,0,1.73E-06,9.32E-06,8.55E-07,0
AC025165.2,0,0,2.62E-07,1.32E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69E-06,0,4.30E-06,8.66E-05
AC025165.4,1.40E-07,1.14E-07,2.48E-07,6.13E-08,9.73E-08,1.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025165.5,1.04E-07,3.83E-07,3.45E-07,4.54E-07,2.31E-07,0,0,0,1.01E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025171.1,6.17E-07,2.34E-07,2.78E-07,5.18E-07,5.65E-07,4.25E-06,1.48E-06,1.60E-06,2.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025171.2,1.85E-07,0,6.31E-07,3.09E-07,5.28E-07,4.50E-06,1.19E-06,3.74E-06,2.12E-06,0,6.08E-06,5.04E-06,0,1.30E-05,0,8.23E-06,0,3.53E-05,0,2.22E-05,2.60E-05,1.94E-06,5.61E-06,0
AC025171.3,2.46E-07,0,5.45E-07,7.41E-07,4.90E-07,0,0,2.20E-06,0,0,6.71E-06,8.75E-06,0,3.91E-06,0,0,0,0,2.92E-06,3.11E-05,6.91E-06,2.56E-06,0,0
AC025171.4,6.63E-07,1.86E-07,6.33E-07,0,9.41E-08,0,5.27E-07,0,1.31E-06,0,3.76E-07,0,0,0,0,0,0,0,8.47E-06,0,3.77E-06,0,0,0
AC025175.1,5.70E-07,1.02E-06,6.60E-07,3.56E-07,1.60E-07,0,7.49E-07,8.54E-07,0,0,0,0,0,0,0,0,0,0,4.48E-07,2.37E-06,0,0,0,0
AC025175.2,3.30E-07,2.63E-07,2.64E-07,2.30E-07,4.22E-07,0,1.12E-07,6.39E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025176.1,1.10E-07,4.45E-07,6.44E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76E-07,0,0,0
AC025178.1,0,0,0,1.40E-07,0,5.06E-06,9.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73E-06,5.41E-07,0,0
AC025181.2,9.95E-06,7.04E-06,1.03E-05,9.12E-06,1.42E-05,1.03E-05,1.27E-05,1.27E-05,8.17E-06,0,2.10E-06,2.17E-06,0.000192606,0,0,2.67E-06,0,0,0,9.49E-06,5.13E-06,0,2.06E-06,0
AC025244.1,0,5.47E-07,1.43E-07,1.78E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025253.2,0,0,9.76E-08,0,2.94E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025257.1,3.72E-07,0,0,0,0,0,5.38E-07,0,0,0,7.39E-07,0,0,0,0,0,0,0,0,0,0,2.22E-06,0,0
AC025263.1,6.78E-07,1.94E-07,1.42E-07,3.33E-07,2.34E-07,1.27E-06,0,1.76E-06,0,0,5.79E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025265.1,0,6.47E-07,4.49E-08,7.32E-08,0,1.71E-06,1.82E-07,1.48E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025283.2,1.86E-07,6.04E-07,3.25E-07,0,0,0,8.45E-07,2.12E-06,0,0,0,3.29E-06,0,0,0,0,0,0,0,0,0,0,2.71E-06,0
AC025287.3,0,1.58E-07,7.23E-08,8.77E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025300.1,0,0,0,7.69E-08,1.94E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025423.1,4.58E-08,1.08E-06,9.18E-07,3.95E-07,1.72E-07,1.10E-06,0,0,0,0,4.36E-07,0,0,0,0,0,0,0,0,0,0,0,6.41E-07,0
AC025423.4,0,0,0,1.10E-07,1.06E-07,0,0,0,0,0,1.08E-06,0,0,0,0,0,0,0,0,1.11E-05,2.79E-06,0,3.53E-07,0
AC025430.1,0,0,0,1.06E-07,1.06E-07,0,0,1.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025442.2,0,0,0,3.40E-07,6.02E-08,0,3.70E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025449.2,2.32E-07,1.20E-07,1.92E-07,4.48E-07,1.07E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025569.1,3.27E-07,4.32E-07,3.97E-07,3.94E-07,0,0,0,0,0,0,0,0,0,0,0,1.28E-06,0,0,0,1.62E-05,3.75E-06,0,0,0
AC025575.2,5.72E-07,0,0,6.35E-08,3.13E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025580.1,1.56E-05,1.44E-05,1.55E-05,2.05E-06,2.31E-07,0,1.82E-06,0,7.71E-07,0,0,0,0,4.12E-06,0,0,0,0,0,2.17E-06,0,0,0,0
AC025580.2,1.12E-06,3.97E-06,1.81E-06,1.46E-07,3.92E-07,0,1.32E-06,5.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025580.3,1.25E-06,2.46E-06,2.95E-06,6.81E-06,1.43E-05,4.27E-06,0,2.78E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025682.1,6.43E-07,5.85E-07,1.30E-07,3.87E-07,8.74E-08,0,0,0,0,0,5.47E-07,0,0,0,0,0,0,0,0,0,2.69E-06,2.26E-06,0,0
AC025766.1,8.29E-08,0,0,5.87E-08,5.06E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025857.2,0,2.31E-07,9.66E-08,1.46E-07,3.13E-07,0,0,8.68E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC025918.1,0,0,0,1.33E-07,6.00E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026124.2,2.66E-07,9.59E-07,4.36E-07,1.47E-06,1.54E-06,0,7.64E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC026150.1,1.44E-07,0,1.08E-07,1.12E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
