gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
ITGA11,1.23E-07,0,5.76E-07,4.89E-08,1.43E-07,0,0,0,1.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194591,0
ITGA2,4.98E-05,3.63E-05,4.80E-05,2.48E-05,4.60E-05,3.83E-05,6.74E-05,7.77E-06,1.62E-05,0.000139228,1.78E-06,8.74E-07,0,9.50E-06,0,0,0,0,2.08E-05,1.66E-05,1.38E-05,5.62E-06,5.85E-06,0
ITGA2B,1.42E-07,0,5.82E-08,0,2.16E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22E-06,0,8.27E-07,0,4.37E-06,0
ITGA3,1.29E-05,2.54E-05,3.24E-05,4.75E-05,6.14E-05,7.88E-06,1.79E-05,2.71E-05,2.17E-05,0,2.41E-06,5.65E-06,0,1.06E-05,0,6.39E-07,0,3.53E-05,4.24E-05,6.64E-05,2.44E-05,3.46E-05,1.68E-06,0
ITGA6,0.000318578,0.000265312,0.000216392,0.000129022,0.000135704,0.000440443,0.000228643,0.000104904,0.000116063,0.000139228,1.19E-05,8.22E-06,6.14E-05,0.000178348,0,1.71E-05,0,0.000199858,0.000118943,0.000136994,0.000206767,7.75E-05,2.90E-05,0
ITGA7,5.43E-07,2.37E-06,9.92E-07,6.80E-07,1.20E-06,3.09E-05,1.24E-05,2.50E-05,1.89E-06,0,0,0,0,0,0,0,0,9.28E-06,0,0,0,0.000125874,9.92E-07,0
ITGA8,6.35E-08,0,0,0,0,0,0,0,0,0,0,0,0,1.89E-05,0,0,0,9.28E-06,1.91E-05,0,0,0.00017958,0,0
ITGA9,2.46E-06,8.74E-07,9.62E-07,2.33E-07,0,1.53E-06,1.51E-06,0,0,0,0,0,0,0,0,1.95E-05,1.30E-05,0,7.43E-05,1.07E-05,2.93E-05,0,2.21E-05,0
ITGA9-AS1,3.47E-06,2.86E-06,2.07E-06,1.33E-06,8.41E-07,3.24E-06,2.21E-06,5.63E-06,1.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGAE,2.42E-05,3.05E-05,1.87E-05,1.58E-05,8.99E-06,1.14E-05,1.15E-05,3.03E-05,1.99E-05,0.000254535,0.000194823,0.000251854,5.44E-05,4.46E-05,4.18E-05,3.08E-05,0,0,3.55E-05,2.59E-05,4.19E-05,4.13E-05,3.29E-05,0
ITGAL,3.61E-08,1.30E-07,0,8.72E-08,2.37E-07,0,0,1.50E-06,0,0,2.71E-05,4.21E-05,0,1.34E-05,0,1.10E-05,0,0,0,0,0,0,8.55E-07,0
ITGAM,2.95E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56E-06,8.27E-05,0,0,0,0,0,0,0,0
ITGAV,1.74E-05,2.20E-05,1.90E-05,1.17E-05,1.99E-05,1.83E-05,1.83E-05,2.30E-05,3.74E-05,0.000139228,1.99E-05,3.61E-05,3.38E-05,8.58E-06,8.68E-05,3.44E-05,0.000134199,0.0001053,6.97E-05,0.0001215,4.90E-05,8.71E-05,7.69E-05,0.000261556
ITGB1,0.000133922,0.000164485,0.000147455,0.000132331,0.000127336,0.000101424,0.000104831,0.000320564,0.000318949,0,2.17E-05,6.41E-05,0.00029491,2.25E-05,1.98E-05,0.000147703,9.42E-05,0.000665278,0.000435883,0.000473898,0.000457177,0.000504868,0.000388539,0.000504516
ITGB1-DT,6.16E-07,1.85E-07,1.36E-06,5.51E-07,9.24E-08,2.78E-06,4.80E-07,1.38E-06,9.44E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGB1BP1,1.82E-05,3.84E-05,2.43E-05,1.41E-05,9.15E-06,3.66E-06,2.45E-05,2.77E-05,1.87E-05,0,3.90E-05,4.79E-05,6.14E-05,1.41E-06,6.63E-05,4.96E-05,3.36E-05,4.95E-05,0.000143966,7.48E-05,7.68E-05,0.00016368,0.000122161,0
ITGB1BP2,3.45E-07,1.31E-06,2.81E-07,9.37E-08,0,0,1.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,4.19E-06,0,5.65E-06,0,0
ITGB2,2.72E-07,0,1.14E-07,5.93E-07,2.87E-07,0,0,0,0,0.000200058,9.27E-06,2.43E-06,6.14E-05,6.78E-06,0.000533095,0.000519791,1.30E-05,0,0,8.91E-07,0,0,0,0
ITGB3BP,2.09E-05,6.02E-05,1.51E-05,8.81E-06,5.43E-06,1.03E-05,1.00E-05,1.39E-05,2.89E-05,6.17E-05,1.03E-05,6.49E-06,0,3.79E-06,4.42E-06,8.40E-06,0,0,1.39E-05,2.00E-05,4.30E-06,1.13E-05,1.20E-05,0
ITGB4,4.38E-05,5.72E-05,7.33E-05,0.000116371,0.000159494,2.73E-05,5.03E-05,7.71E-06,6.50E-05,0,0,7.06E-06,0,1.21E-05,0,9.90E-06,0,0,0.000125988,0.000142585,0.000183284,1.94E-05,2.90E-06,0.000344998
ITGB5,1.00E-05,1.16E-05,1.24E-05,1.08E-05,1.54E-05,8.35E-06,6.97E-06,1.50E-06,8.31E-05,0,0,1.45E-06,0,0,0,2.58E-05,0,0.000175662,0,6.68E-05,1.88E-05,4.76E-05,0.000102801,0
ITGB6,1.74E-05,1.43E-05,1.59E-05,1.00E-05,1.41E-05,0,2.25E-05,2.12E-06,3.35E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-06,0
ITGB7,0,0,0,0,0,0,0,5.90E-07,0,0,6.40E-05,0.000100434,0.000472836,0.000104882,4.42E-05,0.000151701,0,0,0,7.82E-06,1.10E-06,0,0,0
ITGB8,2.18E-05,1.23E-05,2.29E-05,4.97E-06,2.97E-06,2.48E-05,2.01E-05,5.75E-05,9.53E-05,0,7.88E-07,0,0,0,0,0,0,0,2.69E-06,0,5.72E-07,0,3.09E-06,0
ITGBL1,0,0,0,0,0,0,0,1.14E-05,0,0,3.87E-07,0,0,0,0,0,0,0,4.63E-07,0,0,0,1.54E-06,0
ITIH4,7.97E-08,0,0,3.09E-07,1.41E-07,0,5.27E-07,1.87E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-06,0
ITIH5,1.87E-07,0,1.97E-07,5.32E-07,1.45E-07,0,3.76E-07,0,0,0,0,0,0,2.21E-06,0,0,0,1.86E-05,1.98E-05,0,0,7.10E-05,0.000155904,0
